I, [2020-03-17T17:11:39.760987 #9745]  INFO -- : (0.000124s) SELECT sqlite_version()
I, [2020-03-17T17:11:39.761260 #9745]  INFO -- : (0.000066s) CREATE TABLE IF NOT EXISTS `schema_info` (`version` integer DEFAULT (0) NOT NULL)
I, [2020-03-17T17:11:39.761452 #9745]  INFO -- : (0.000092s) SELECT * FROM `schema_info` LIMIT 1
I, [2020-03-17T17:11:39.761675 #9745]  INFO -- : (0.000065s) SELECT 1 AS 'one' FROM `schema_info` LIMIT 1
I, [2020-03-17T17:11:39.761849 #9745]  INFO -- : (0.000068s) SELECT count(*) AS 'count' FROM `schema_info` LIMIT 1
I, [2020-03-17T17:11:39.762011 #9745]  INFO -- : (0.000065s) SELECT `version` FROM `schema_info` LIMIT 1
I, [2020-03-17T17:11:39.763683 #9745]  INFO -- : (0.001530s) DELETE FROM `expenses`
I, [2020-03-17T17:11:39.765548 #9745]  INFO -- : (0.000035s) BEGIN
I, [2020-03-17T17:11:39.765790 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#expenses_on returns a blank array when there are no matching expenses
I, [2020-03-17T17:11:39.765823 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#expenses_on returns a blank array when there are no matching expenses
I, [2020-03-17T17:11:39.766096 #9745]  INFO -- : (0.000117s) SELECT * FROM `expenses` WHERE (`date` = '2017-06-10')
I, [2020-03-17T17:11:39.766121 #9745]  INFO -- : (0.000117s) SELECT * FROM `expenses` WHERE (`date` = '2017-06-10')
I, [2020-03-17T17:11:39.766869 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on returns a blank array when there are no matching expenses
I, [2020-03-17T17:11:39.766900 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on returns a blank array when there are no matching expenses
I, [2020-03-17T17:11:39.766918 #9745]  INFO -- : Edning example: ExpenseTracker::Ledger#expenses_on returns a blank array when there are no matching expenses
I, [2020-03-17T17:11:39.766997 #9745]  INFO -- : (0.000023s) ROLLBACK
I, [2020-03-17T17:11:39.767019 #9745]  INFO -- : (0.000023s) ROLLBACK
I, [2020-03-17T17:11:39.767034 #9745]  INFO -- : (0.000023s) ROLLBACK
I, [2020-03-17T17:11:39.767533 #9745]  INFO -- : (0.000064s) BEGIN
I, [2020-03-17T17:11:39.767562 #9745]  INFO -- : (0.000064s) BEGIN
I, [2020-03-17T17:11:39.767578 #9745]  INFO -- : (0.000064s) BEGIN
I, [2020-03-17T17:11:39.767671 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.767696 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.767711 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.767724 #9745]  INFO -- : Starting example: ExpenseTracker::Ledger#expenses_on return all expenses for the provided date
I, [2020-03-17T17:11:39.768167 #9745]  INFO -- : (0.000313s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768194 #9745]  INFO -- : (0.000313s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768210 #9745]  INFO -- : (0.000313s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768223 #9745]  INFO -- : (0.000313s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768467 #9745]  INFO -- : (0.000060s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768500 #9745]  INFO -- : (0.000060s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768517 #9745]  INFO -- : (0.000060s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768561 #9745]  INFO -- : (0.000060s) SELECT max(`id`) AS 'max' FROM `expenses` LIMIT 1
I, [2020-03-17T17:11:39.768663 #9745]  INFO -- : (0.000027s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
I, [2020-03-17T17:11:39.768713 #9745]  INFO -- : (0.000027s) INSERT INTO `expenses` (`payee`, `amount`, `date`) VALUES ('Starbucks', 5.75, '2017-06-10')
